language,num_rows
Python,2020,done
TypeScript,1546
Go,1143
Rust,1042,done
C++,1028
Java,853
JavaScript,669
C,628
"C#",616
Kotlin,467
PHP,441
Scala,338
Ruby,295
Dart,245
Lua,238
Elixir,179
Swift,168
Jupyter Notebook,146
Haskell,120
HTML,112
,97
Shell,95
Perl,60
TeX,58
Vue,56
Julia,45
R,32
MDX,28
Objective-C,23
HCL,22
PowerShell,20
Fortran,19
SCSS,19
OCaml,19
Zig,18
Makefile,18
CSS,17
Cuda,17
Svelte,16
Markdown,16
Verilog,16
Clojure,14
Assembly,14
Dockerfile,13
Groovy,11
Solidity,10
MATLAB,10
D,8
YAML,8
Modelica,8
Coq,8
Nix,8
Nim,8
Erlang,7
Starlark,6
Roff,6
Smarty,6
Astro,6
Lean,6
TSQL,5
"F#",4
Crystal,4
Cython,4
PLpgSQL,4
Nextflow,4
Jinja,4
SystemVerilog,4
VHDL,4
Mathematica,2
Reason,2
Common Lisp,2
Vim Script,2
BASIC,2
Apex,2
Ballerina,2
Liquid,2
BitBake,2
MoonBit,2
Chapel,2
Factor,2
Logos,2
LLVM,2
Racket,2
GDScript,2
Toit,2
FIRRTL,2
PostScript,2
GAP,2
Stylus,2
Vala,2
Standard ML,2
V,2
Idris,2
1C Enterprise,2
Odin,2
Gherkin,2
Elm,2
Inno Setup,2
Cool,2
Pascal,2
Nunjucks,2
Fluent,2
Less,2
Tcl,2
Agda,2
Fantom,2
Haxe,2
CodeQL,2
Emacs Lisp,2
Bicep,2
Handlebars,2
SourcePawn,2
Rez,2
Prolog,2
Move,2
MLIR,2
JetBrains MPS,2
Dylan,1
